theta,theta_p,nu,uf,uf_p,ws,d50,cb,bnch
0.1383,0.0852,10.87,45.38,35.62,27.57,0.92,0.00051,0.001192
1.4268,0.7917,9.6619,110.4,82.24,59.62,0.528,0.10869,0.13868
1.0639,0.599,9.569,73.02,54.78,27.26,0.31,0.07539,0.093753
1.051,0.2768,9.6619,96.27,49.41,39.15,0.545,0.01283,0.024279
0.6006,0.2434,11.52,51.4,32.72,23.98,0.272,0.01311,0.018727
1.2198,0.387,10.684,96.53,54.38,41.48,0.472,0.02003,0.045607
0.1414,0.064,13.564,31.69,21.33,18.33,0.439,0.00021,0.000322
0.4533,0.203,10.777,57.52,38.49,30.94,0.451,0.02467,0.012743
0.8971,0.8704,11.706,84.16,82.9,53.44,0.488,0.16474,0.156233
1.0821,0.3065,16.165,99.01,52.7,38.69,0.56,0.02913,0.029614
1.2388,1.0444,11.892,72.61,66.67,31.9,0.263,0.2067,0.192373
0.5064,0.1955,10.498,48.32,30.02,23.35,0.285,0.00515,0.01173
0.5377,0.4758,11.148,66.15,62.22,42.49,0.503,0.12014,0.065095
0.0719,0.0543,10.591,33.42,29.04,21.15,0.96,0.00037,9.2e-05
0.5484,0.1401,12.635,62.47,31.58,25.75,0.44,0.00957,0.005328
3.0199,1.4163,10.87,165.86,113.59,66.51,0.563,0.47053,0.255593
0.3719,0.2169,9.2903,50.82,38.81,22.07,0.429,0.02085,0.014705
0.7387,0.5313,10.684,58.86,49.92,30.23,0.29,0.07949,0.077869
0.9677,0.8235,10.777,85.59,78.96,51.84,0.468,0.1629,0.145851
0.7062,0.2854,10.405,47.8,30.39,20.4,0.2,0.03244,0.025787
1.425,1.4089,10.034,95.58,95.04,54.14,0.396,0.32251,0.254517
0.3207,0.1154,10.87,48.71,29.22,23.35,0.457,0.00353,0.003163
1.1887,0.4232,10.963,70.84,42.27,27.73,0.261,0.02586,0.053368
0.9397,0.2892,10.591,53.34,29.6,19.97,0.187,0.03921,0.026464
0.5729,0.1293,9.2903,68.88,32.72,25.99,0.512,0.00317,0.004324
0.8759,0.5175,9.6619,121.37,93.29,70.17,1.039,0.1013,0.074664
0.856,0.213,10.312,80.69,40.25,33.37,0.47,0.02369,0.014144
0.6265,0.1716,10.219,69.76,36.51,32.32,0.48,0.00613,0.008725
0.5013,0.1792,10.963,51.29,30.66,23.57,0.324,0.01523,0.009643
2.5305,1.2703,7.8039,114.42,81.07,43.34,0.32,0.19477,0.233044
0.7957,0.2633,11.241,60.02,34.53,24.81,0.28,0.02259,0.021974
1.7984,1.0502,15.794,127.65,97.54,60.46,0.56,0.27577,0.193507
2.2459,1.7508,10.126,100.89,89.08,39.64,0.28,0.39674,0.297575
0.6012,0.1502,11.241,60.88,30.43,23.75,0.381,0.01397,0.006343
0.4066,0.1751,17.93,56.43,37.04,28.52,0.484,0.01241,0.009143
0.9651,0.876,12.449,84.67,80.66,51.93,0.459,0.15696,0.157456
0.9182,0.8338,10.219,51.43,49.01,24.03,0.178,0.18352,0.148152
2.7484,1.4191,12.635,125.4,90.1,38.21,0.354,0.32458,0.255998
1.5643,1.1086,11.984,109.74,92.38,55.23,0.476,0.23124,0.204665
